Player_id,Player,Team,Signed Using,Guaranteed,Season Start,Salary
StephenCurry2020,Stephen Curry,GSW,Bird Rights,"$88,787,328 ",2020,"$43,006,362 "
StephenCurry2021,Stephen Curry,GSW,Bird Rights,"$88,787,328 ",2021,"$45,780,966 "
StephenCurry2022,Stephen Curry,GSW,Bird Rights,"$88,787,328 ",2022,$0.00 
StephenCurry2023,Stephen Curry,GSW,Bird Rights,"$88,787,328 ",2023,$0.00 
StephenCurry2024,Stephen Curry,GSW,Bird Rights,"$88,787,328 ",2024,$0.00 
StephenCurry2025,Stephen Curry,GSW,Bird Rights,"$88,787,328 ",2025,$0.00 
RussellWestbrook2020,Russell Westbrook,WAS,Bird Rights,"$85,569,960 ",2020,"$41,358,814 "
RussellWestbrook2021,Russell Westbrook,WAS,Bird Rights,"$85,569,960 ",2021,"$44,211,146 "
RussellWestbrook2022,Russell Westbrook,WAS,Bird Rights,"$85,569,960 ",2022,"$47,063,478 "
RussellWestbrook2023,Russell Westbrook,WAS,Bird Rights,"$85,569,960 ",2023,$0.00 
RussellWestbrook2024,Russell Westbrook,WAS,Bird Rights,"$85,569,960 ",2024,$0.00 
RussellWestbrook2025,Russell Westbrook,WAS,Bird Rights,"$85,569,960 ",2025,$0.00 
ChrisPaul2020,Chris Paul,PHO,Bird Rights,"$41,358,814 ",2020,"$41,358,814 "
ChrisPaul2021,Chris Paul,PHO,Bird Rights,"$41,358,814 ",2021,"$44,211,146 "
ChrisPaul2022,Chris Paul,PHO,Bird Rights,"$41,358,814 ",2022,$0 
ChrisPaul2023,Chris Paul,PHO,Bird Rights,"$41,358,814 ",2023,$0.00 
ChrisPaul2024,Chris Paul,PHO,Bird Rights,"$41,358,814 ",2024,$0.00 
ChrisPaul2025,Chris Paul,PHO,Bird Rights,"$41,358,814 ",2025,$0.00 
JohnWall2020,John Wall,HOU,Bird Rights,"$85,565,760 ",2020,"$41,254,920 "
JohnWall2021,John Wall,HOU,Bird Rights,"$85,565,760 ",2021,"$44,310,840 "
JohnWall2022,John Wall,HOU,Bird Rights,"$85,565,760 ",2022,"$47,366,760 "
JohnWall2023,John Wall,HOU,Bird Rights,"$85,565,760 ",2023,$0.00 
